Connecticut,Vermont,1,16
Florida,Temple,8,9
Virginia,Marist,5,12
California,Fresno St.,4,13
Arizona St.,Georgia,6,11
Florida St.,N.C. A&T,3,14
Notre Dame,Minnesota,7,10
Texas A&M,Evansville,2,15
Duke,Austin Peay,1,16
Middle Tenn.,Michigan St.,8,9
Tennessee,Ball St.,5,12
Iowa St.,East Tenn. St.,4,13
Texas,Mississippi St.,6,11
Ohio St.,Sacred Heart,3,14
DePaul,San Diego St.,7,10
Stanford,UC Santa Barbara,2,15
Maryland,Dartmouth,1,16
Villanova,Utah,8,9
Kansas St.,Drexel,5,12
Vanderbilt,Western Caro.,4,13
LSU,Green Bay,6,11
Louisville,Liberty,3,14
South Dakota St.,TCU,7,10
Baylor,UTSA,2,15
Oklahoma,Prairie View,1,16
Iowa,Georgia Tech,8,9
Xavier,Gonzaga,5,12
Pittsburgh,Montana,4,13
Purdue,Charlotte,6,11
North Carolina,UCF,3,14
Rutgers,VCU,7,10
Auburn,Lehigh,2,15
