Louisville,Morehead St.,1,16
Ohio St.,Siena,8,9
Utah,Arizona,5,12
Wake Forest,Cleveland St.,4,13
West Virginia,Dayton,6,11
Kansas,North Dakota St.,3,14
Boston College,Southern California,7,10
Michigan St.,Robert Morris,2,15
Connecticut,Chattanooga,1,16
BYU,Texas A&M,8,9
Purdue,UNI,5,12
Washington,Mississippi St.,4,13
Marquette,Utah St.,6,11
Missouri,Cornell,3,14
California,Maryland,7,10
Memphis,Cal St. Northridge,2,15
Pittsburgh,East Tenn. St.,1,16
Oklahoma St.,Tennessee,8,9
Florida St.,Wisconsin,5,12
Xavier,Portland St.,4,13
UCLA,VCU,6,11
Villanova,American,3,14
Texas,Minnesota,7,10
Duke,Binghamton,2,15
North Carolina,Radford,1,16
LSU,Butler,8,9
Illinois,Western Ky.,5,12
Gonzaga,Akron,4,13
Arizona St.,Temple,6,11
Syracuse,Stephen F. Austin,3,14
Clemson,Michigan,7,10
Oklahoma,Morgan St.,2,15
