Connecticut,Southern U.,1,16
Temple,James Madison,8,9
Virginia,Green Bay,5,12
Iowa St.,Lehigh,4,13
St. John's (NY),Princeton,6,11
Florida St.,Louisiana Tech,3,14
Mississippi St.,Middle Tenn.,7,10
Ohio St.,St. Francis (PA),2,15
Tennessee,Austin Peay,1,16
Dayton,TCU,8,9
Georgetown,Marist,5,12
Baylor,Fresno St.,4,13
Texas,San Diego St.,6,11
West Virginia,Lamar,3,14
LSU,Hartford,7,10
Duke,Hampton,2,15
Stanford,UC Riverside,1,16
Iowa,Rutgers,8,9
Georgia,Tulane,5,12
Oklahoma St.,Chattanooga,4,13
Vanderbilt,DePaul,6,11
Xavier,East Tenn. St.,3,14
Gonzaga,North Carolina,7,10
Texas A&M,Portland St.,2,15
Nebraska,UNI,1,16
UCLA,North Carolina St.,8,9
Michigan St.,Bowling Green,5,12
Kentucky,Liberty,4,13
Georgia Tech,UALR,6,11
Oklahoma,South Dakota St.,3,14
Wisconsin,Vermont,7,10
Notre Dame,Cleveland St.,2,15
